[start] tuple=6x8 权重内存 512MB | 分钟=600 out=td6_net_latest.bin
[bench] 10 秒实测 1357.4 局/秒（单进程）→ 48866400 局/600分钟
[train] games=1971830 steps=254473378 | 窗口均分 1226 | 平均步 129 | 平均|δ| 44.730 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.4% 64:33.0% 32:3.1% 16:0.1% | 110.1min
[train] games=1987828 steps=256539317 | 窗口均分 1228 | 平均步 129 | 平均|δ| 44.673 | max|w| 30.0 | 512:0.0% 256:9.5% 128:54.4% 64:33.0% 32:3.0% 16:0.1% | 111.1min
[train] games=2005890 steps=258867856 | 窗口均分 1224 | 平均步 129 | 平均|δ| 44.699 | max|w| 30.0 | 512:0.0% 256:9.1% 128:54.8% 64:32.9% 32:3.2% 16:0.1% | 112.1min
[train] games=2032084 steps=262248113 | 窗口均分 1226 | 平均步 129 | 平均|δ| 44.812 | max|w| 30.0 | 512:0.0% 256:9.3% 128:54.7% 64:32.8% 32:3.1% 16:0.1% | 113.1min
[train] games=2061695 steps=266080675 | 窗口均分 1232 | 平均步 129 | 平均|δ| 44.800 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.7% 64:32.3% 32:3.3% 16:0.1% | 114.1min
[train] games=2091212 steps=269899741 | 窗口均分 1231 | 平均步 129 | 平均|δ| 44.760 | max|w| 30.0 | 512:0.0% 256:9.5% 128:54.8% 64:32.5% 32:3.1% 16:0.1% | 115.1min
[train] games=2119848 steps=273609261 | 窗口均分 1234 | 平均步 130 | 平均|δ| 44.807 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.9% 64:32.5% 32:2.9% 16:0.1% | 116.1min
[train] games=2147165 steps=277149508 | 窗口均分 1234 | 平均步 130 | 平均|δ| 44.714 | max|w| 30.0 | 512:0.0% 256:9.5% 128:54.8% 64:32.5% 32:3.1% 16:0.1% | 117.1min
[train] games=2173985 steps=280631477 | 窗口均分 1237 | 平均步 130 | 平均|δ| 44.842 | max|w| 30.0 | 512:0.0% 256:9.7% 128:55.3% 64:31.9% 32:3.0% 16:0.1% | 118.1min
[train] games=2192556 steps=283030352 | 窗口均分 1229 | 平均步 129 | 平均|δ| 44.858 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.4% 64:32.7% 32:3.1% 16:0.0% | 119.1min
[snap] 已写 td6_net_ckpt_2202539.bin
[ckpt] 已写 td6_net_latest.bin @ games=2202575
[train] games=2202576 steps=284328878 | 窗口均分 1234 | 平均步 130 | 平均|δ| 45.041 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.8% 64:32.4% 32:3.2% 16:0.1% | 120.1min
[train] games=2213656 steps=285766070 | 窗口均分 1236 | 平均步 130 | 平均|δ| 44.780 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.4% 64:33.1% 32:2.5% 16:0.1% | 121.1min
[train] games=2225081 steps=287245109 | 窗口均分 1233 | 平均步 129 | 平均|δ| 44.980 | max|w| 30.0 | 512:0.0% 256:9.6% 128:55.4% 64:32.0% 32:2.9% 16:0.1% | 122.1min
[train] games=2236729 steps=288750021 | 窗口均分 1229 | 平均步 129 | 平均|δ| 45.092 | max|w| 30.0 | 512:0.0% 256:9.2% 128:55.8% 64:32.0% 32:2.9% 16:0.0% | 123.1min
[train] games=2250769 steps=290567805 | 窗口均分 1233 | 平均步 129 | 平均|δ| 44.973 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.5% 64:32.6% 32:3.1% 16:0.1% | 124.1min
